individual;Group;species;subgenus;trait;value
M-1601;Apidae: Apinae: Euglossini;Eufriesea lucida;NA;proboscisLength;9,5
M-0403;Apidae: Apinae: Euglossini;Euglossa mixta;Euglossa;intertegularDistance;3,5
M-0754;Apidae: Apinae: Euglossini;Euglossa mixta;Euglossa;intertegularDistance;3,1
B1110;Apidae: Apinae: Euglossini;Euglossa mixta;Euglossa;intertegularDistance;3,2
B1111;Apidae: Apinae: Euglossini;Euglossa mixta;Euglossa;intertegularDistance;3,3
M-1683;Apidae: Apinae: Euglossini;Eufriesea chrysopyga;NA;proboscisLength;10,2
M-1684;Apidae: Apinae: Euglossini;Eufriesea chrysopyga;NA;proboscisLength;9,9
M-1685;Apidae: Apinae: Euglossini;Eufriesea chrysopyga;NA;proboscisLength;10,8
M-1686;Apidae: Apinae: Euglossini;Eufriesea chrysopyga;NA;proboscisLength;9,7
M-1687;Apidae: Apinae: Euglossini;Eufriesea chrysopyga;NA;proboscisLength;9,9
M-1688;Apidae: Apinae: Euglossini;Eufriesea chrysopyga;NA;proboscisLength;9,5
M-1689;Apidae: Apinae: Euglossini;Eufriesea chrysopyga;NA;proboscisLength;8,8
M-1690;Apidae: Apinae: Euglossini;Eufriesea chrysopyga;NA;proboscisLength;9,8
M-1691;Apidae: Apinae: Euglossini;Eufriesea chrysopyga;NA;proboscisLength;9,7
M-1692;Apidae: Apinae: Euglossini;Eufriesea chrysopyga;NA;proboscisLength;9,5
B1112;Apidae: Apinae: Euglossini;Euglossa mixta;Euglossa;intertegularDistance;3,3
B1258;Apidae: Apinae: Euglossini;Euglossa mixta;Euglossa;intertegularDistance;3,4
B1259;Apidae: Apinae: Euglossini;Euglossa mixta;Euglossa;intertegularDistance;3,1
B1260;Apidae: Apinae: Euglossini;Euglossa mixta;Euglossa;intertegularDistance;3,3
M-0040;Apidae: Apinae: Euglossini;Euglossa mixta;Euglossa;proboscisLength;6,9
M-0403;Apidae: Apinae: Euglossini;Euglossa mixta;Euglossa;proboscisLength;8,7
M-0754;Apidae: Apinae: Euglossini;Euglossa mixta;Euglossa;proboscisLength;8,8
M-1868;Apidae: Apinae: Euglossini;Eufriesea chrysopyga;NA;proboscisLength;9,4
M-1875;Apidae: Apinae: Euglossini;Eufriesea lucida;NA;proboscisLength;8,5
M-1876;Apidae: Apinae: Euglossini;Eufriesea chrysopyga;NA;proboscisLength;9,5
M-1877;Apidae: Apinae: Euglossini;Eufriesea chrysopyga;NA;proboscisLength;9,8
M-1878;Apidae: Apinae: Euglossini;Eufriesea lucifera;NA;proboscisLength;11,4
M-1879;Apidae: Apinae: Euglossini;Exaerete smaragdina;NA;proboscisLength;19,8
B1110;Apidae: Apinae: Euglossini;Euglossa mixta;Euglossa;proboscisLength;6,4
M-C-1922;Apidae: Apinae: Euglossini;Eufriesea asarophora;NA;proboscisLength;32,4
M-C-1923;Apidae: Apinae: Euglossini;Eufriesea asarophora;NA;proboscisLength;33
B1111;Apidae: Apinae: Euglossini;Euglossa mixta;Euglossa;proboscisLength;6,8
B1112;Apidae: Apinae: Euglossini;Euglossa mixta;Euglossa;proboscisLength;5,4
B1258;Apidae: Apinae: Euglossini;Euglossa mixta;Euglossa;proboscisLength;6,2
B1259;Apidae: Apinae: Euglossini;Euglossa mixta;Euglossa;proboscisLength;6,3
M-2079;Apidae: Apinae: Euglossini;Eulaema meriana;NA;proboscisLength;22,6
M-C-2458;Apidae: Apinae: Euglossini;Eufriesea flaviventris;NA;proboscisLength;12,15
B1386;Apidae: Apinae: Euglossini;Eufriesea purpurata;NA;proboscisLength;5,3
B1164;Apidae: Apinae: Euglossini;Eufriesea rufocaudata;NA;proboscisLength;5,7
B1260;Apidae: Apinae: Euglossini;Euglossa mixta;Euglossa;proboscisLength;6
M-0056;Apidae: Apinae: Euglossini;Euglossa modestior;Euglossa;intertegularDistance;3,5
M-0057;Apidae: Apinae: Euglossini;Euglossa modestior;Euglossa;intertegularDistance;3,5
M-0060;Apidae: Apinae: Euglossini;Euglossa modestior;Euglossa;intertegularDistance;3,6
M-0395;Apidae: Apinae: Euglossini;Euglossa modestior;Euglossa;intertegularDistance;3,3
M-1496;Apidae: Apinae: Euglossini;Euglossa modestior;Euglossa;intertegularDistance;3,3
M-2117;Apidae: Apinae: Euglossini;Euglossa modestior;Euglossa;intertegularDistance;3,4
M-C-2291;Apidae: Apinae: Euglossini;Euglossa modestior;Euglossa;intertegularDistance;3,5
M-C-2390;Apidae: Apinae: Euglossini;Euglossa modestior;Euglossa;intertegularDistance;3,3
M-0056;Apidae: Apinae: Euglossini;Euglossa modestior;Euglossa;proboscisLength;5,8
M-0057;Apidae: Apinae: Euglossini;Euglossa modestior;Euglossa;proboscisLength;6,6
M-0060;Apidae: Apinae: Euglossini;Euglossa modestior;Euglossa;proboscisLength;6,9
M-0395;Apidae: Apinae: Euglossini;Euglossa modestior;Euglossa;proboscisLength;6,6
M-1496;Apidae: Apinae: Euglossini;Euglossa modestior;Euglossa;proboscisLength;6,6
M-2117;Apidae: Apinae: Euglossini;Euglossa modestior;Euglossa;proboscisLength;5,8
M-C-2291;Apidae: Apinae: Euglossini;Euglossa modestior;Euglossa;proboscisLength;6,5
M-C-2390;Apidae: Apinae: Euglossini;Euglossa modestior;Euglossa;proboscisLength;7,2
M-0214;Apidae: Apinae: Euglossini;Euglossa mourei;Euglossa;intertegularDistance;3,1
M-0225;Apidae: Apinae: Euglossini;Euglossa mourei;Euglossa;intertegularDistance;3,4
M-0242;Apidae: Apinae: Euglossini;Euglossa mourei;Euglossa;intertegularDistance;3,4
M-1012;Apidae: Apinae: Euglossini;Euglossa mourei;Euglossa;intertegularDistance;3,2
M-1013;Apidae: Apinae: Euglossini;Euglossa mourei;Euglossa;intertegularDistance;3,2
M-1696;Apidae: Apinae: Euglossini;Euglossa mourei;Euglossa;intertegularDistance;3,1
B1109;Apidae: Apinae: Euglossini;Euglossa mourei;Euglossa;intertegularDistance;3,4
M-C-2037;Apidae: Apinae: Euglossini;Euglossa mourei;Euglossa;intertegularDistance;3,5
M-0214;Apidae: Apinae: Euglossini;Euglossa mourei;Euglossa;proboscisLength;6,5
M-0225;Apidae: Apinae: Euglossini;Euglossa mourei;Euglossa;proboscisLength;6,6
M-0242;Apidae: Apinae: Euglossini;Euglossa mourei;Euglossa;proboscisLength;7
M-1012;Apidae: Apinae: Euglossini;Euglossa mourei;Euglossa;proboscisLength;6,1
M-1013;Apidae: Apinae: Euglossini;Euglossa mourei;Euglossa;proboscisLength;5,7
M-1696;Apidae: Apinae: Euglossini;Euglossa mourei;Euglossa;proboscisLength;
B1109;Apidae: Apinae: Euglossini;Euglossa mourei;Euglossa;proboscisLength;4,8
M-C-2037;Apidae: Apinae: Euglossini;Euglossa mourei;Euglossa;proboscisLength;6,5
J-0419b;Apidae: Apinae: Euglossini;Euglossa nr asarophora;Glossura;intertegularDistance;3,58
J-0419b;Apidae: Apinae: Euglossini;Euglossa nr asarophora;Glossura;proboscisLength;30,75
M-1027;Apidae: Apinae: Euglossini;Euglossa retroviridis;Euglossa;intertegularDistance;3,6
M-C-2250;Apidae: Apinae: Euglossini;Euglossa retroviridis;Euglossa;intertegularDistance;3,5
M-1027;Apidae: Apinae: Euglossini;Euglossa retroviridis;Euglossa;proboscisLength;17,1
M-C-2250;Apidae: Apinae: Euglossini;Euglossa retroviridis;Euglossa;proboscisLength;17,1
J-0836;Apidae: Apinae: Euglossini;Euglossa sp;NA;intertegularDistance;3,21
J-1098;Apidae: Apinae: Euglossini;Euglossa sp;NA;intertegularDistance;2,96
J-1189;Apidae: Apinae: Euglossini;Euglossa sp;NA;intertegularDistance;2,95
J-1575;Apidae: Apinae: Euglossini;Euglossa sp;NA;intertegularDistance;2,94
J-1616;Apidae: Apinae: Euglossini;Euglossa sp;NA;intertegularDistance;2,71
J-0836;Apidae: Apinae: Euglossini;Euglossa sp;NA;proboscisLength;32,65
J-1098;Apidae: Apinae: Euglossini;Euglossa sp;NA;proboscisLength;9,75
J-1189;Apidae: Apinae: Euglossini;Euglossa sp;NA;proboscisLength;9,27
J-1575;Apidae: Apinae: Euglossini;Euglossa sp;NA;proboscisLength;11,15
J-1616;Apidae: Apinae: Euglossini;Euglossa sp;NA;proboscisLength;14,56
M-2094;Apidae: Apinae: Euglossini;Euglossa stellfeldi;Glossura;intertegularDistance;2,7
M-2094;Apidae: Apinae: Euglossini;Euglossa stellfeldi;Glossura;proboscisLength;5,8
M-0966;Apidae: Apinae: Euglossini;Euglossa stilbonata;Glossurella;intertegularDistance;3,4
M-0966;Apidae: Apinae: Euglossini;Euglossa stilbonata;Glossurella;proboscisLength;14,6
J-0116;Apidae: Apinae: Euglossini;Euglossa townsendi;Euglossa;intertegularDistance;2,67
J-0201;Apidae: Apinae: Euglossini;Euglossa townsendi;Euglossa;intertegularDistance;2,55
J-0224;Apidae: Apinae: Euglossini;Euglossa townsendi;Euglossa;intertegularDistance;2,62
J-0340;Apidae: Apinae: Euglossini;Euglossa townsendi;Euglossa;intertegularDistance;2,56
J-0345;Apidae: Apinae: Euglossini;Euglossa townsendi;Euglossa;intertegularDistance;2,8
J-0516b;Apidae: Apinae: Euglossini;Euglossa townsendi;Euglossa;intertegularDistance;3,04
J-0805;Apidae: Apinae: Euglossini;Euglossa townsendi;Euglossa;intertegularDistance;2,96
J-0832;Apidae: Apinae: Euglossini;Euglossa townsendi;Euglossa;intertegularDistance;2,72
J-0857;Apidae: Apinae: Euglossini;Euglossa townsendi;Euglossa;intertegularDistance;2,9
J-0945;Apidae: Apinae: Euglossini;Euglossa townsendi;Euglossa;intertegularDistance;2,75
J-1095;Apidae: Apinae: Euglossini;Euglossa townsendi;Euglossa;intertegularDistance;2,49
J-1133;Apidae: Apinae: Euglossini;Euglossa townsendi;Euglossa;intertegularDistance;2,59
J-1172;Apidae: Apinae: Euglossini;Euglossa townsendi;Euglossa;intertegularDistance;2,74
J-1900;Apidae: Apinae: Euglossini;Euglossa townsendi;Euglossa;intertegularDistance;2,7
M-0956;Apidae: Apinae: Euglossini;Euglossa townsendi;Euglossa;intertegularDistance;2,6
M-0421;Apidae: Apinae: Euglossini;Euglossa townsendi;Euglossa;intertegularDistance;3,2
M-1246;Apidae: Apinae: Euglossini;Euglossa townsendi;Euglossa;intertegularDistance;3,3
M-1589;Apidae: Apinae: Euglossini;Euglossa townsendi;Euglossa;intertegularDistance;3,1
M-C-1893;Apidae: Apinae: Euglossini;Euglossa townsendi;Euglossa;intertegularDistance;3,1
M-0956;Apidae: Apinae: Euglossini;Euglossa townsendi;Euglossa;proboscisLength;8,8
M-0421;Apidae: Apinae: Euglossini;Euglossa townsendi;Euglossa;proboscisLength;4,9
M-1246;Apidae: Apinae: Euglossini;Euglossa townsendi;Euglossa;proboscisLength;5,7
M-1589;Apidae: Apinae: Euglossini;Euglossa townsendi;Euglossa;proboscisLength;5
M-C-1893;Apidae: Apinae: Euglossini;Euglossa townsendi;Euglossa;proboscisLength;5,1
J-0201;Apidae: Apinae: Euglossini;Euglossa townsendi;Euglossa;proboscisLength;9,54
J-0340;Apidae: Apinae: Euglossini;Euglossa townsendi;Euglossa;proboscisLength;9,72
J-0345;Apidae: Apinae: Euglossini;Euglossa townsendi;Euglossa;proboscisLength;10,76
J-0805;Apidae: Apinae: Euglossini;Euglossa townsendi;Euglossa;proboscisLength;8,54
J-0857;Apidae: Apinae: Euglossini;Euglossa townsendi;Euglossa;proboscisLength;9,15
J-0945;Apidae: Apinae: Euglossini;Euglossa townsendi;Euglossa;proboscisLength;9,15
J-1095;Apidae: Apinae: Euglossini;Euglossa townsendi;Euglossa;proboscisLength;9,89
J-1133;Apidae: Apinae: Euglossini;Euglossa townsendi;Euglossa;proboscisLength;8,29
J-0598;Apidae: Apinae: Euglossini;Euglossa tridentata;Euglossa;intertegularDistance;3,06
M-0046;Apidae: Apinae: Euglossini;Euglossa tridentata;Euglossa;intertegularDistance;3,4
M-0047;Apidae: Apinae: Euglossini;Euglossa tridentata;Euglossa;intertegularDistance;3,2
M-0048;Apidae: Apinae: Euglossini;Euglossa tridentata;Euglossa;intertegularDistance;3,4
M-0086;Apidae: Apinae: Euglossini;Euglossa tridentata;Euglossa;intertegularDistance;3
M-0087;Apidae: Apinae: Euglossini;Euglossa tridentata;Euglossa;intertegularDistance;3,3
M-0088;Apidae: Apinae: Euglossini;Euglossa tridentata;Euglossa;intertegularDistance;3,4
M-0100;Apidae: Apinae: Euglossini;Euglossa tridentata;Euglossa;intertegularDistance;3,6
M-0109;Apidae: Apinae: Euglossini;Euglossa tridentata;Euglossa;intertegularDistance;3,8
M-0133;Apidae: Apinae: Euglossini;Euglossa tridentata;Euglossa;intertegularDistance;3,1
M-0134;Apidae: Apinae: Euglossini;Euglossa tridentata;Euglossa;intertegularDistance;3,2
M-0138;Apidae: Apinae: Euglossini;Euglossa tridentata;Euglossa;intertegularDistance;3,1
M-0252;Apidae: Apinae: Euglossini;Euglossa tridentata;Euglossa;intertegularDistance;3,3
M-0281;Apidae: Apinae: Euglossini;Euglossa tridentata;Euglossa;intertegularDistance;3,3
M-0283;Apidae: Apinae: Euglossini;Euglossa tridentata;Euglossa;intertegularDistance;3,3
M-0284;Apidae: Apinae: Euglossini;Euglossa tridentata;Euglossa;intertegularDistance;3,2
M-0285;Apidae: Apinae: Euglossini;Euglossa tridentata;Euglossa;intertegularDistance;3,4
M-0301;Apidae: Apinae: Euglossini;Euglossa tridentata;Euglossa;intertegularDistance;3,3
M-0309;Apidae: Apinae: Euglossini;Euglossa tridentata;Euglossa;intertegularDistance;3,1
M-0371;Apidae: Apinae: Euglossini;Euglossa tridentata;Euglossa;intertegularDistance;3
M-1037;Apidae: Apinae: Euglossini;Euglossa tridentata;Euglossa;intertegularDistance;2,7
M-0046;Apidae: Apinae: Euglossini;Euglossa tridentata;Euglossa;proboscisLength;11,1
M-0047;Apidae: Apinae: Euglossini;Euglossa tridentata;Euglossa;proboscisLength;11,1
M-0048;Apidae: Apinae: Euglossini;Euglossa tridentata;Euglossa;proboscisLength;10,2
M-0086;Apidae: Apinae: Euglossini;Euglossa tridentata;Euglossa;proboscisLength;8,8
M-0087;Apidae: Apinae: Euglossini;Euglossa tridentata;Euglossa;proboscisLength;8,3
M-0088;Apidae: Apinae: Euglossini;Euglossa tridentata;Euglossa;proboscisLength;8,2
M-0100;Apidae: Apinae: Euglossini;Euglossa tridentata;Euglossa;proboscisLength;9,2
M-0109;Apidae: Apinae: Euglossini;Euglossa tridentata;Euglossa;proboscisLength;10,1
M-0133;Apidae: Apinae: Euglossini;Euglossa tridentata;Euglossa;proboscisLength;10,5
M-0134;Apidae: Apinae: Euglossini;Euglossa tridentata;Euglossa;proboscisLength;10,3
M-0138;Apidae: Apinae: Euglossini;Euglossa tridentata;Euglossa;proboscisLength;10,6
M-0252;Apidae: Apinae: Euglossini;Euglossa tridentata;Euglossa;proboscisLength;10,5
M-0281;Apidae: Apinae: Euglossini;Euglossa tridentata;Euglossa;proboscisLength;10,8
M-0283;Apidae: Apinae: Euglossini;Euglossa tridentata;Euglossa;proboscisLength;9,5
M-0284;Apidae: Apinae: Euglossini;Euglossa tridentata;Euglossa;proboscisLength;9,8
M-0285;Apidae: Apinae: Euglossini;Euglossa tridentata;Euglossa;proboscisLength;10,3
M-0301;Apidae: Apinae: Euglossini;Euglossa tridentata;Euglossa;proboscisLength;10,9
M-0309;Apidae: Apinae: Euglossini;Euglossa tridentata;Euglossa;proboscisLength;10,6
M-0371;Apidae: Apinae: Euglossini;Euglossa tridentata;Euglossa;proboscisLength;8,9
M-1037;Apidae: Apinae: Euglossini;Euglossa tridentata;Euglossa;proboscisLength;15,1
J-0605;Apidae: Apinae: Euglossini;Euglossa trinotata;Glossurella;intertegularDistance;2,87
J-1196;Apidae: Apinae: Euglossini;Euglossa trinotata;Glossurella;intertegularDistance;2,83
J-1204;Apidae: Apinae: Euglossini;Euglossa trinotata;Glossurella;intertegularDistance;3,34
J-1205;Apidae: Apinae: Euglossini;Euglossa trinotata;Glossurella;intertegularDistance;3,11
J-1206;Apidae: Apinae: Euglossini;Euglossa trinotata;Glossurella;intertegularDistance;3,08
J-1207;Apidae: Apinae: Euglossini;Euglossa trinotata;Glossurella;intertegularDistance;3,1
J-1220;Apidae: Apinae: Euglossini;Euglossa trinotata;Glossurella;intertegularDistance;2,71
J-1221;Apidae: Apinae: Euglossini;Euglossa trinotata;Glossurella;intertegularDistance;2,65
J-1227;Apidae: Apinae: Euglossini;Euglossa trinotata;Glossurella;intertegularDistance;2,99
J-1228;Apidae: Apinae: Euglossini;Euglossa trinotata;Glossurella;intertegularDistance;3,14
J-1229;Apidae: Apinae: Euglossini;Euglossa trinotata;Glossurella;intertegularDistance;2,65
J-1230;Apidae: Apinae: Euglossini;Euglossa trinotata;Glossurella;intertegularDistance;3,17
J-1247;Apidae: Apinae: Euglossini;Euglossa trinotata;Glossurella;intertegularDistance;3,13
M-0498;Apidae: Apinae: Euglossini;Eulaema bombiformis;NA;proboscisLength;14,9
M-0986;Apidae: Apinae: Euglossini;Eulaema bombiformis;NA;proboscisLength;16,5
M-0987;Apidae: Apinae: Euglossini;Eulaema bombiformis;NA;proboscisLength;15,3
M-0988;Apidae: Apinae: Euglossini;Eulaema bombiformis;NA;proboscisLength;17
M-0989;Apidae: Apinae: Euglossini;Eulaema bombiformis;NA;proboscisLength;16,1
M-0661;Apidae: Apinae: Euglossini;Eulaema chocoana;NA;proboscisLength;16,7
M-0984;Apidae: Apinae: Euglossini;Eulaema chocoana;NA;proboscisLength;15,1
M-1329;Apidae: Apinae: Euglossini;Eulaema chocoana;NA;proboscisLength;16,3
M-1330;Apidae: Apinae: Euglossini;Eulaema chocoana;NA;proboscisLength;16,4
M-0466;Apidae: Apinae: Euglossini;Eulaema cingulata;NA;proboscisLength;12,9
M-1152;Apidae: Apinae: Euglossini;Eulaema flavescens;NA;proboscisLength;12,5
M-1693;Apidae: Apinae: Euglossini;Eulaema flavescens;NA;proboscisLength;13,4
J-1248;Apidae: Apinae: Euglossini;Euglossa trinotata;Glossurella;intertegularDistance;2,95
M-0967;Apidae: Apinae: Euglossini;Euglossa trinotata;Glossurella;intertegularDistance;3,4
M-0968;Apidae: Apinae: Euglossini;Euglossa trinotata;Glossurella;intertegularDistance;3,4
B1301;Apidae: Apinae: Euglossini;Euglossa trinotata;Glossurella;intertegularDistance;3,4
M-0967;Apidae: Apinae: Euglossini;Euglossa trinotata;Glossurella;proboscisLength;17,2
M-0968;Apidae: Apinae: Euglossini;Euglossa trinotata;Glossurella;proboscisLength;15,5
B1301;Apidae: Apinae: Euglossini;Euglossa trinotata;Glossurella;proboscisLength;15,8
J-0605;Apidae: Apinae: Euglossini;Euglossa trinotata;Glossurella;proboscisLength;20,28
J-1247;Apidae: Apinae: Euglossini;Euglossa trinotata;Glossurella;proboscisLength;21,01
J-1248;Apidae: Apinae: Euglossini;Euglossa trinotata;Glossurella;proboscisLength;19,98
J-0283;Apidae: Apinae: Euglossini;Euglossa turbinifex;Glossurella;intertegularDistance;2,59
J-0315;Apidae: Apinae: Euglossini;Euglossa turbinifex;Glossurella;intertegularDistance;2,73
J-0367;Apidae: Apinae: Euglossini;Euglossa turbinifex;Glossurella;intertegularDistance;2,86
J-0468;Apidae: Apinae: Euglossini;Euglossa turbinifex;Glossurella;intertegularDistance;3,15
J-0532;Apidae: Apinae: Euglossini;Euglossa turbinifex;Glossurella;intertegularDistance;2,85
J-0846;Apidae: Apinae: Euglossini;Euglossa turbinifex;Glossurella;intertegularDistance;2,7
J-0923;Apidae: Apinae: Euglossini;Euglossa turbinifex;Glossurella;intertegularDistance;2,83
J-1184;Apidae: Apinae: Euglossini;Euglossa turbinifex;Glossurella;intertegularDistance;2,85
J-1241;Apidae: Apinae: Euglossini;Euglossa turbinifex;Glossurella;intertegularDistance;2,54
J-1240;Apidae: Apinae: Euglossini;Euglossa turbinifex;Glossurella;intertegularDistance;2,97
J-1382b;Apidae: Apinae: Euglossini;Euglossa turbinifex;Glossurella;intertegularDistance;2,75
J-0415;Apidae: Apinae: Euglossini;Eufriesea lucida;NA;proboscisLength;17,66
J-0416;Apidae: Apinae: Euglossini;Eulaema sororia;NA;proboscisLength;31,91
J-1614;Apidae: Apinae: Euglossini;Euglossa turbinifex;Glossurella;intertegularDistance;2,96
M-0205;Apidae: Apinae: Euglossini;Euglossa turbinifex;Glossurella;intertegularDistance;2,6
M-0319;Apidae: Apinae: Euglossini;Euglossa turbinifex;Glossurella;intertegularDistance;2,8
M-0320;Apidae: Apinae: Euglossini;Euglossa turbinifex;Glossurella;intertegularDistance;2,6
B1327;Apidae: Apinae: Euglossini;Euglossa turbinifex;Glossurella;intertegularDistance;3,1
M-0205;Apidae: Apinae: Euglossini;Euglossa turbinifex;Glossurella;proboscisLength;16,6
M-0319;Apidae: Apinae: Euglossini;Euglossa turbinifex;Glossurella;proboscisLength;16,2
M-0320;Apidae: Apinae: Euglossini;Euglossa turbinifex;Glossurella;proboscisLength;16,7
B1327;Apidae: Apinae: Euglossini;Euglossa turbinifex;Glossurella;proboscisLength;11,1
J-0283;Apidae: Apinae: Euglossini;Euglossa turbinifex;Glossurella;proboscisLength;16,5
J-0315;Apidae: Apinae: Euglossini;Euglossa turbinifex;Glossurella;proboscisLength;15,33
J-0367;Apidae: Apinae: Euglossini;Euglossa turbinifex;Glossurella;proboscisLength;13,58
J-0468;Apidae: Apinae: Euglossini;Euglossa turbinifex;Glossurella;proboscisLength;15,97
J-0532;Apidae: Apinae: Euglossini;Euglossa turbinifex;Glossurella;proboscisLength;16,64
J-0846;Apidae: Apinae: Euglossini;Euglossa turbinifex;Glossurella;proboscisLength;16,51
J-0923;Apidae: Apinae: Euglossini;Euglossa turbinifex;Glossurella;proboscisLength;16,64
J-1241;Apidae: Apinae: Euglossini;Euglossa turbinifex;Glossurella;proboscisLength;15,3
J-1240;Apidae: Apinae: Euglossini;Euglossa turbinifex;Glossurella;proboscisLength;16,13
J-1614;Apidae: Apinae: Euglossini;Euglossa turbinifex;Glossurella;proboscisLength;16,8
J-0022;Apidae: Apinae: Euglossini;Euglossa variabilis;Euglossa;intertegularDistance;2,67
J-0067;Apidae: Apinae: Euglossini;Euglossa variabilis;Euglossa;intertegularDistance;3,1
J-0074;Apidae: Apinae: Euglossini;Euglossa variabilis;Euglossa;intertegularDistance;3
J-0179;Apidae: Apinae: Euglossini;Euglossa variabilis;Euglossa;intertegularDistance;2,92
J-0230;Apidae: Apinae: Euglossini;Euglossa variabilis;Euglossa;intertegularDistance;3,11
J-0231;Apidae: Apinae: Euglossini;Euglossa variabilis;Euglossa;intertegularDistance;3
J-0888;Apidae: Apinae: Euglossini;Euglossa variabilis;Euglossa;intertegularDistance;3,03
J-0975;Apidae: Apinae: Euglossini;Aglae caerulea;NA;proboscisLength;16,02
J-0889;Apidae: Apinae: Euglossini;Euglossa variabilis;Euglossa;intertegularDistance;2,7
J-1164;Apidae: Apinae: Euglossini;Euglossa variabilis;Euglossa;intertegularDistance;2,98
J-1514;Apidae: Apinae: Euglossini;Euglossa variabilis;Euglossa;intertegularDistance;2,7
J-1617;Apidae: Apinae: Euglossini;Euglossa variabilis;Euglossa;intertegularDistance;2,96
M-0074;Apidae: Apinae: Euglossini;Euglossa variabilis;Euglossa;intertegularDistance;3,5
M-0090;Apidae: Apinae: Euglossini;Euglossa variabilis;Euglossa;intertegularDistance;3
M-0091;Apidae: Apinae: Euglossini;Euglossa variabilis;Euglossa;intertegularDistance;3,2
J-1137;Apidae: Apinae: Euglossini;Eufriesea pulchra;NA;proboscisLength;8,93
M-0112;Apidae: Apinae: Euglossini;Euglossa variabilis;Euglossa;intertegularDistance;2,9
M-0275;Apidae: Apinae: Euglossini;Euglossa variabilis;Euglossa;intertegularDistance;3
M-0074;Apidae: Apinae: Euglossini;Euglossa variabilis;Euglossa;proboscisLength;10,6
M-0090;Apidae: Apinae: Euglossini;Euglossa variabilis;Euglossa;proboscisLength;11,2
M-0091;Apidae: Apinae: Euglossini;Euglossa variabilis;Euglossa;proboscisLength;9,8
M-0112;Apidae: Apinae: Euglossini;Euglossa variabilis;Euglossa;proboscisLength;9,4
M-0275;Apidae: Apinae: Euglossini;Euglossa variabilis;Euglossa;proboscisLength;10,2
J-0179;Apidae: Apinae: Euglossini;Euglossa variabilis;Euglossa;proboscisLength;12,5
J-0888;Apidae: Apinae: Euglossini;Euglossa variabilis;Euglossa;proboscisLength;13,8
J-0889;Apidae: Apinae: Euglossini;Euglossa variabilis;Euglossa;proboscisLength;12,76
J-1514;Apidae: Apinae: Euglossini;Euglossa variabilis;Euglossa;proboscisLength;9,55
J-1617;Apidae: Apinae: Euglossini;Euglossa variabilis;Euglossa;proboscisLength;11,83
J-0420;Apidae: Apinae: Euglossini;Euglossa villosiventris;Euglossa;intertegularDistance;3,06
M-0948;Apidae: Apinae: Euglossini;Euglossa villosiventris;Euglossa;intertegularDistance;3,4
M-0626;Apidae: Apinae: Euglossini;Euglossa villosiventris;Euglossa;intertegularDistance;3,2
M-C-2254;Apidae: Apinae: Euglossini;Euglossa villosiventris;Euglossa;intertegularDistance;3,5
M-2405;Apidae: Apinae: Euglossini;Euglossa villosiventris;Euglossa;intertegularDistance;3,4
M-2404;Apidae: Apinae: Euglossini;Euglossa villosiventris;Euglossa;intertegularDistance;3,6
M-0948;Apidae: Apinae: Euglossini;Euglossa villosiventris;Euglossa;proboscisLength;8,6
M-0626;Apidae: Apinae: Euglossini;Euglossa villosiventris;Euglossa;proboscisLength;5,7
M-C-2254;Apidae: Apinae: Euglossini;Euglossa villosiventris;Euglossa;proboscisLength;5,4
M-2405;Apidae: Apinae: Euglossini;Euglossa villosiventris;Euglossa;proboscisLength;6,4
M-2404;Apidae: Apinae: Euglossini;Euglossa villosiventris;Euglossa;proboscisLength;6,5
